trial,HierTS_R_T,IndepTS_R_T,diff
0,30.07277959273504,41.551736973960644,-11.478957381225605
1,45.961186041002314,48.92831870845685,-2.9671326674545355
2,30.74464900510202,49.16738017618379,-18.42273117108177
3,32.39702422244499,47.21784655467888,-14.820822332233888
4,28.446708986948195,40.93651710531622,-12.489808118368025
5,28.71432883301077,28.09252592811428,0.6218029048964908
6,40.03850662238051,37.4228810216981,2.6156256006824066
7,28.148589663244284,35.022825225902594,-6.87423556265831
8,37.70345338654509,43.95601976736255,-6.252566380817456
9,28.756674348672245,28.877693001820766,-0.12101865314852134
10,31.10673968725455,38.55177530996424,-7.4450356227096925
11,38.13801086328706,31.974074817558368,6.16393604572869
12,33.15691546001586,42.88115255688263,-9.724237096866773
13,37.095453574576354,34.777910876945036,2.3175426976313176
14,22.773836510347927,24.215290628220032,-1.4414541178721052
15,41.888723425185276,41.96873346956769,-0.0800100443824121
16,33.812607787004715,49.835030518754145,-16.02242273174943
17,39.53048637136921,52.74609448032376,-13.215608108954555
18,35.00157053549806,42.05264179197731,-7.051071256479247
19,35.04285617544128,29.66379434298746,5.379061832453818

mean,33.92655505460329,39.49201216283377,-5.56545710823048
std,5.61481804572799,8.117209784093733,7.381294124015353
wilcoxon_W,31.0
wilcoxon_p_one_sided,0.0021104812622070312
